,Amplicon names,CHROM,Length,3_NA07407,7_NA07444,6_NA07445,2_NA07406,1_NA07405,11_2402DN1,9_2402DN1,5_NA07428,4_NA07425,12_2402DN2,10_2402DN2,8_DEVCTRL
0,POLR3K,16,230,0.9174876942577691,0.9941901956802817,0.8845186670313907,0.949639735045667,1.020071922611241,1.0097204946557825,0.9237823662804353,1.0058098043197183,0.8576325281812278,2.014256771914793,1.724913399352862,1.0963190010538906
1,HS40_1,16,198,0.9952007430881616,0.9728204648455999,0.9663071524077845,0.9977244215922717,1.0978064329620523,1.0200661523590113,0.9761114240769467,0.9641528263973922,1.0022755784077282,1.780462894000357,1.7393962048017224,1.086266237202809
2,HS40_2,16,185,1.0600378586248738,0.9770937323832463,0.981762229301937,1.0040512171110103,1.080607341577211,1.003381167440077,0.9714781578570355,0.9144972348837506,0.9408412843873339,1.8346242592997868,1.835236247856158,0.996618832559923
3,HS40_3,16,224,1.0020534705119875,0.9174389332756715,0.9852046776206439,0.9174111701445505,1.061423178173354,1.0343588752217658,0.9953159279365739,0.959712483820588,1.00685133401886,1.731218170034667,1.5977213462187585,0.9979465294880123
4,Dutch_up1,16,220,0.8587456656536462,1.020775552531625,0.8586429051697528,1.0436422733718373,0.9020806865623252,0.9223939324561271,0.9792244474683747,1.0625484309225297,0.8569385019945501,1.2797609359337123,1.3805687116749237,1.087885246470075
5,Dutch_up2,16,184,1.000310733146125,0.9996892668538752,0.8819708889461799,0.9528225298734608,0.9865081060660728,1.1293317035041444,0.9841690676388858,1.0913813958748595,0.8588175598108125,1.8758358275207778,2.1330295519750426,1.099674566628165
6,FIL_up,16,188,1.0131108727769391,1.0164750083715999,0.8392790167056796,0.9446008800212998,0.9331327417560109,0.9483453557443245,0.9868891272230607,1.2221560554857727,0.9484989403841552,2.03129686745652,2.1644094908801406,1.2593601124721878
7,HBZ,16,149,0.9651728550832923,1.0014985874087616,0.9985014125912383,1.055151371394637,0.9587413375923667,0.9696734501664308,0.9286477135877953,1.125929311757881,0.9179033846213431,1.9440338709680396,2.0072404885781543,1.1621669408460682
8,rSNP,16,193,0.9493270385076358,1.012999872103711,0.9172356447846518,1.089830736541083,0.8282362032409292,0.9507676332537299,0.9130942117141847,1.2237270966901086,0.987000127896289,1.8383139037299245,1.8932325107054293,1.1426054164952755
9,HBAP1,16,168,0.9815137855249654,0.9977491098353765,1.0191539988374179,1.0022508901646234,0.970549812374177,0.9528125344484895,0.9351723252356989,1.057797685836217,1.0419173307549932,0.890862299038184,0.8213870126589188,0.8880603233941275
10,4.2del_1,16,195,0.8410660515581106,1.0691819422908206,0.9290422903215634,1.0718574455417127,0.9495804526368192,0.9594784079721648,0.9327474689765475,1.169581630627172,0.9916813952146178,0.9120659444157451,0.9561090690599524,1.0083186047853823
11,4.2del_2,16,185,0.9138353471359092,1.0050995473239461,1.0139432731709956,1.1629842999857256,0.9310462452772268,0.9949004526760541,0.932052288362724,0.9623596853131833,1.035154431894577,0.8864433976057512,0.9398641914222212,0.941822552767587
12,4.2del_3,16,178,0.9627423991121296,1.072827498740489,0.9124044472069673,1.0955135156088902,0.9373828466115735,1.0527643105001796,0.9362111548803064,0.9976766671408772,1.002323332859123,0.954779868840498,0.9479504779605276,0.9559516166610503
13,HBA2_1,16,144,0.6815266124924738,0.7829154517952482,1.4242753503264007,1.5403531603293976,0.8967982459882098,1.10320175401179,0.8863026706981221,0.8490267836717136,2.577652108951308,1.4647921163779432,0.0,1.1390730184748723
14,HBA2_2,16,184,1.0262944800119471,1.0981648176543304,1.1062522712979908,0.9971967708199497,1.0243012324446998,0.9170405342772294,0.9868499946317395,1.0028032291800502,1.0455590099040148,0.34590739666825915,0.3622463937824779,0.9308595076168673
15,HBA2_3,16,194,1.2698353080783045,0.9361137858545149,1.2484463227413327,0.694451298865512,1.326009786749407,1.044944394141889,1.2298118380740104,0.8887885734450173,1.0780793596887746,0.3532897661773486,0.3526139448125705,0.9550556058581108
16,HBA2_4,16,211,0.972733038536766,1.0322554196309082,1.0678757333760194,1.0639150573513703,0.9877924416766969,0.9465609445922143,1.0807512384605795,0.9529792797841662,1.0122075583233032,0.4105006314329301,0.4311260195331097,1.0136905472453661
17,HBA2_5,16,220,0.9912160754366642,1.1250226065193385,1.0501783710682357,1.0950035125073818,1.0087839245633359,0.8953178947853235,0.9655245010201912,1.0335582813511224,1.0773269680049742,0.0011881772210475129,0.0022617762649106924,0.9662854284520055
18,HBA2_6,16,269,1.0745963911283047,1.0018188786663218,0.998181121333678,0.8858690658405097,1.1140459878736608,1.1283063181191677,1.2068083876849147,0.9690442208000573,1.0107837894445602,0.0,0.0014316180201927704,0.8723417972924242
19,HBA2_7,16,209,0.9928159433487971,0.9911464970335362,0.9575331624110093,1.1148342933814746,0.9467780285972375,1.1807802358944595,1.0893152830769814,1.0419442862216033,1.007184056651203,0.0014013837496824218,0.0008892098044288016,1.017404117750218
20,3.7del_1,16,152,1.0696356253242834,1.0152585389313686,1.0915753083106898,0.988582527013254,1.0525573830961164,0.9612736873367048,0.9379321460816226,1.0114174729867458,1.136026768050859,0.0009539200814968914,0.0,0.9351146589300514
21,3.7del_2,16,185,1.0334193487470524,0.9996281830380735,0.86928195427907,0.9923199708610673,1.0089033882816543,1.0479872136983504,1.032176794599114,1.0003718169619262,0.8972044070702895,0.0,0.0011377909585844434,1.0006295262968905
22,3.7del_3,16,172,1.0016286237224068,0.9838500722505432,0.9270981439998552,0.9983713762775933,1.002851663855511,1.0042700128915292,1.0815151031602437,1.0285500895487407,0.949473504408021,0.002716443215475796,0.0025854673363979387,1.061481105087434
23,3.7del_4,16,159,1.0033932704038553,0.9866683716115634,0.9613266481296698,1.1295987837286134,1.010330016023099,0.9966067295961447,0.9956115151787085,1.0806790178330674,1.0545696454458817,0.0,0.0013007558401880162,1.022794879610058
24,HBA1_1,16,144,0.9938627471542744,1.056382457895786,1.1207874056713443,1.03224672779463,1.0121897849510104,0.9685892614878083,0.9265032911718728,1.0061372528457257,1.0637473974241523,0.3570878777094346,0.3837427264930681,0.9565867370471561
25,HBA1_2,16,184,1.008680806366467,1.046309333732078,1.0976828693339724,0.9744825723255014,1.0233124284753299,0.8970262232616051,1.0197449000584216,0.9913191936335329,1.0549069994364246,0.3795932970930166,0.3689372143589318,0.9065939259846376
26,HBA1_3,16,194,1.3109517863839277,0.9200688250780185,1.2305827191880336,0.7143505192049316,1.3248735582977087,1.0724173687294531,1.2102233915862968,0.862133422835357,1.1086896817407919,0.44023699804812755,0.36045886153007106,0.927582631270547
27,HBA1_4,16,211,0.935489709829639,1.0787161613985639,1.0521662997297392,1.0456728463258271,0.9732502808999692,0.962237741296671,1.1517469421245627,0.9827298893413922,1.0691539426488699,0.4130321660718262,0.41743397153477274,1.0172701106586077
28,HBA1_5,16,227,1.010333102468067,1.0208656752186425,1.0900447696264952,1.0909888582670484,0.9896668975319332,0.9137067782348866,0.9471507159044483,0.9663679646056095,1.027480175648023,0.7706441770187182,0.8141815216829188,0.9249686105629462
29,HBA1_6,16,278,0.9822382163172773,1.0083334695915491,1.055680324231126,0.9120065595508067,0.9916665304084507,1.0720373269463794,1.1617662873300867,0.9094740610287226,0.9835451018391433,0.8759465210523719,0.9183608435288634,0.9150662494978528
30,HBA1_7,16,138,0.9950496096807633,1.0834414252557714,1.0965733499544101,1.031589331897816,0.9791681438817927,0.8421202435473025,1.0220952834554402,0.9728204148174893,1.0049503903192367,0.7809894493385215,0.6425026037272896,1.0571412416338009
31,HBA1_down1,16,165,1.0300149983566969,0.9593721869151712,0.8987305609694485,0.9630620154957783,1.008281863664008,1.021947616775146,0.9446585892939069,0.999960048407714,0.9538282353418219,0.7949035512656633,0.8479087641715612,1.109029884116311
32,HBA1_down2,16,181,1.0069532171867615,0.9412686825068739,0.9830311436612503,1.0365514973836703,0.9930467828132387,0.9531667689344892,0.9899097142326145,1.0288798388140292,0.9925607612988911,0.902869200233335,0.941851673085013,1.0374114028899537
33,Dutch_down,16,132,1.0355453711120108,0.9429473067394855,0.9820713154954761,0.9618527736023915,0.9949433305110298,1.0534825432000985,0.9307496251284011,0.954102028633273,1.0050566694889702,0.937216915327498,0.8441414623764116,1.074172637604389
34,HBQ1_up,16,167,1.060873443032887,0.993092232157519,0.909677943853027,0.8968284904985416,0.8955734970242715,1.0069077678424811,1.014460456804654,0.950891148497438,0.922801978087263,0.8728532819928441,0.8998128833633245,1.0460009031361628
35,HBQ1,16,166,1.0705797616104609,0.9255013920378599,1.0294744315951012,0.9705255684048989,1.057269166371969,0.9633793420574013,0.870158336921499,0.9637772588611645,1.202424113129675,0.8316922214885607,0.9139175533511515,0.898044700933996
36,SEA_down,16,184,1.1084354737449988,0.9701780514215377,1.1416348587743108,0.9187891379458144,1.0836624160386603,0.9815722611702695,1.0091558830222669,0.8402469663262092,0.9908441169777329,0.8387946729341532,0.6977312094354484,1.0182447061870237
37,LUC7L,16,193,0.799003695641208,1.0715519952649535,0.9547892147616933,0.9783771216026375,0.8642778676447893,1.0453277644008558,0.9789205760090576,1.0210794239909424,0.9702116961510494,2.0250791771161945,2.0265878766445877,1.184481463592625
38,AXIN1,16,215,1.0195163428146428,0.8920338737408622,0.974581549539949,1.1274176610496354,0.9741601085356162,0.980483657185357,0.9247587132460834,1.0864298995002712,0.9590058955472263,1.9465798628974627,1.7938681233804945,1.062463014359352
39,3HS1_1,11,248,0.959351263357638,0.9114826893752175,1.1387197030360559,1.1321791631395952,1.0225060145079996,1.1260690532013473,1.1036906548326657,0.8216243787371761,1.0,1.0116827759663642,0.951630543609798,0.9780491207566192
40,3HS1_2,11,222,1.05404436016747,1.0975009800605442,1.0,0.9161539434550354,0.9133688872819307,1.0383198567193221,1.0381243124626867,1.0011594846368772,0.8975181958650906,1.0040338079100242,0.969283432558639,1.0376594784101485
41,HBB_13,11,140,0.9585605610352497,0.8984154499762971,0.9093534381789631,0.9106531244171968,1.0,1.0806733696734314,1.0998942481493428,1.1105901205706585,1.0002312338249988,1.0664253660648984,1.0814968991864269,0.9750505754494135
42,HBB_12,11,226,0.9690696853512343,1.0197578981618358,0.9251282026743013,0.9721222365378132,1.0494225562620212,1.0706480113446333,1.0407427989585907,0.8955980518997338,1.0,1.0141344408986162,0.9729405214372587,1.0595740655546801
43,HBB_11,11,278,1.0195968826317323,0.9967682992368601,1.080064629241294,1.0037359389112408,1.0,0.9052100203368374,1.0229873101726648,0.973044525064338,1.0045347827485287,0.924549369915457,0.8732549874752438,0.8585108884812568
44,HBB_10,11,273,0.9765500619304811,0.8816502488297503,0.9459720107391424,0.9531894746471317,1.0,1.0872381751495357,1.0961958870730317,1.0079589422370283,1.0413471002564108,1.0127606160736757,1.0377304583744835,0.943988647323496
45,HBB_9,11,217,1.0203698810871784,1.0,0.8950048717726784,0.9345085985331334,0.9389726205537604,1.0429316813501122,1.0503772363629533,0.9377622332245646,0.9237826026031433,1.046353035199773,1.1263782816323504,0.9496786040243743
46,HBB_8,11,283,1.0247217721051292,1.0,0.9360236764710964,1.0237123058938922,0.891209642332043,1.0273119629636205,1.101414925950555,1.132132847151278,1.0199406067289793,0.9999488832532034,1.0467674907793252,0.903724857857041
47,HBB_7,11,268,1.1020644357785594,0.9735698464789734,0.8905338010887988,0.7927377369615041,0.9698149392787615,1.0301904188644395,1.0009547981009201,1.0324738176065098,1.1171906764060249,1.0,1.0157809353651306,1.0293821490022121
48,HBB_6,11,281,1.0035150292803778,0.9046522087247376,0.8803226293058506,0.9495664655297469,0.938054446617288,1.0119683014657188,1.0590831856154403,1.03195882108512,1.0,1.027560978085023,1.0022167533517805,0.9642035442555017
49,HBB_5,11,265,1.078168284483603,0.9590675921627156,1.0781499277272817,1.0830917396887147,1.0,1.0823278948776802,1.0733127160269238,1.048616747917187,1.0634582956488883,0.9640316867684582,0.9831621090674894,0.9627116688487234
50,HBB_4,11,229,1.0009866372967233,0.9298345409389172,1.0975606118900412,0.9784449597161968,1.0,1.071727175178502,1.1094040464201274,1.0099357493339192,1.1124455474348791,0.9332663709932156,0.9378661364666383,0.8948996372331788
51,HBB_3,11,143,0.8099956072798187,1.0292716133424098,0.9070406566185623,0.991228328378418,1.0,1.0873516062002713,0.9873316753510782,0.7385379139483224,0.9523468547492034,1.0484855598728293,1.0514779915444388,0.9678452796465847
52,HBB_2,11,279,1.0344522880706017,1.0358440648984548,1.054626147504416,1.222516194655277,0.9897315079752793,1.0071486492817499,1.102359430416396,1.0386682567158014,1.0,0.9169338859471866,0.9792226086868273,0.9440542772319741
53,HBB_1,11,259,1.064814459361254,0.9389303334198873,0.984100637231466,0.9773760795792656,1.0,1.0658265465161176,1.137382339757956,1.0915266527030691,1.0442773773790037,0.9156357114235267,1.0233617952499192,1.0218761228268982
54,HBD_2,11,280,0.996474929141086,0.9780602166793931,1.0,1.0248735306286783,1.0217335772384282,1.0140639013860908,0.9807083882444734,0.9798788907829942,0.9672152926354597,1.0140258812309002,1.0274093863815892,1.0040901336051227
55,HBD_1,11,217,1.022477906459385,0.9736288228323626,0.9737271770438184,1.0327678451053386,1.0395454719730082,1.183577648643286,1.0141559472057267,0.8633798660686253,0.9496097529792146,1.0,1.0025740263229883,1.0473479564930266
56,HBBP1_2,11,142,0.920213083919285,1.1110646335531627,1.0,0.8972111034054432,0.968429473999028,1.118478284910535,1.086744663499666,1.0808824399438475,1.0331378482642108,0.9694156934029751,1.0025665258318275,1.1554876797779619
57,HBBP1_1,11,218,1.0479815987080303,0.9588269433801309,1.0181549351823436,1.0541311876945079,0.8868016940677507,1.1285562002048446,0.9884327387338945,1.0410803337254082,0.8422397149467089,1.0148345924606461,1.0,1.1295309468768695
58,HBG1-2_Prom,11,275,0.9259472577665345,1.2413770205965822,1.0,1.1013595100304618,1.355164298166834,1.387691333787621,1.3275863707045905,1.0897949438706007,0.9850268893081662,1.159069090959837,0.9731829796331731,1.559033679828262
59,HBG2_up2,11,183,0.9540719921423869,1.1345866848196051,1.0,1.070028081123245,1.0029159420289855,1.0003222844982245,0.9834813541845677,1.0353490810372266,0.9770405771931517,1.0363508622675954,0.9450032428652594,0.9172318141197497
60,HBG2_up1,11,245,1.0,1.091463693340532,1.0036207379188078,0.9564680340908218,0.9048606553865925,0.9929500607329683,0.8830198043270855,0.9264604250438203,1.0172209733424866,0.9586474405164622,0.9204176451173915,1.0033436786011438
61,LCRB_HS1,11,213,0.9079571666117472,0.9327381680322857,1.044692278026892,0.9433008509302443,1.0732282337141672,0.5153412134353057,0.5326697928582728,1.096324615232506,0.9378978813086357,1.0017623795151875,1.0,0.9589948724943206
62,LCRB_HS2,11,191,0.9264782154969106,1.0493495507387134,0.9851902126698959,0.9633608234130069,1.01978976283923,0.5194040661907509,0.5118746055036186,0.9256104868834393,1.000021246248774,0.9752226619120079,1.0,0.9434512116875892
63,LCRB_HS3,11,236,1.0620579128609902,0.9393659815129433,0.9875384624999388,0.8789420622596822,1.0,0.5118330435535815,0.5484228053122039,1.0266002104211611,0.8435865106699472,1.0712425176519498,1.07429375631853,1.0772945754653214
